Jahr,Tasereinsätze gesamt,Einsatz erfolgreich,Einsatz ohne Verletzung,Person unbewaffnet
2020,231,198,90,108
2021,573,490,425,271
2022,876,774,597,460
2023,1171,991,607,662
2024,1235,781,751,704
2025,1321,1118,751,732
